Video File,Meta File,TimeStamp,Exposure,Gain,Gamma,Binning,Capture Area,
2018-06-14-0345_0-Jupiter_550GRN.avi,2018-06-14-0344_0-Jupiter_550GRN.CameraSettings.txt,2018-06-14T03:44:03.1036820Z,0.08,50.0,50.0,1,640x480,
2018-06-14-0347_5-Jupiter_450BLU.avi,2018-06-14-0346_5-Jupiter_450BLU.CameraSettings.txt,2018-06-14T03:46:34.3811741Z,0.1,50.0,50.0,1,640x480,
2018-06-14-0351_3-Jupiter_650RED.avi,2018-06-14-0350_3-Jupiter_650RED.CameraSettings.txt,2018-06-14T03:50:20.9323884Z,0.15,50.0,50.0,1,640x480,
2018-06-14-0355_5-Jupiter_685NIR.avi,2018-06-14-0354_5-Jupiter_685NIR.CameraSettings.txt,2018-06-14T03:54:30.9511029Z,0.15,50.0,50.0,1,640x480,
2018-06-14-0358_5-Jupiter_807NIR.avi,2018-06-14-0357_5-Jupiter_807NIR.CameraSettings.txt,2018-06-14T03:57:32.7784425Z,0.15,50.0,50.0,2,640x480,
2018-06-14-0402_8-Jupiter_889CH4.avi,2018-06-14-0400_8-Jupiter_889CH4.CameraSettings.txt,2018-06-14T04:00:48.6089323Z,1.5,100.0,50.0,2,640x480,
2018-06-14-0411_2-Jupiter_380NUV.avi,2018-06-14-0409_7-Jupiter_380NUV.CameraSettings.txt,2018-06-14T04:09:42.9557400Z,0.5,100.0,50.0,2,640x480,
